,Z,A,Symbol,Projectile,Reaction,MT,has_endf7-1,has_endf8
0,1,1,H,n,1,"N,TOT",True,True
1,1,1,H,n,2,"N,EL",True,True
2,1,1,H,n,4,"N,INL",False,False
3,1,1,H,n,102,"N,G",True,True
4,1,2,H,n,1,"N,TOT",True,True
5,1,2,H,n,2,"N,EL",True,True
6,1,2,H,n,102,"N,G",True,True
7,1,3,H,n,1,"N,TOT",True,True
8,1,3,H,n,2,"N,EL",True,True
9,10,20,Ne,n,1,"N,TOT",False,True
10,10,20,Ne,n,102,"N,G",False,True
11,10,21,Ne,n,1,"N,TOT",False,True
12,10,21,Ne,n,102,"N,G",False,True
13,10,22,Ne,n,1,"N,TOT",False,True
14,10,22,Ne,n,102,"N,G",False,True
15,11,22,Na,n,102,"N,G",True,True
16,11,23,Na,n,1,"N,TOT",True,True
17,11,23,Na,n,2,"N,EL",True,True
18,11,23,Na,n,4,"N,INL",True,True
19,11,23,Na,n,102,"N,G",True,True
20,12,24,Mg,n,1,"N,TOT",True,True
21,12,24,Mg,n,2,"N,EL",True,True
22,12,24,Mg,n,4,"N,INL",True,True
23,12,25,Mg,n,1,"N,TOT",True,True
24,12,26,Mg,n,1,"N,TOT",True,True
25,12,26,Mg,n,102,"N,G",True,True
26,13,27,Al,n,1,"N,TOT",True,True
27,13,27,Al,n,2,"N,EL",True,True
28,13,27,Al,n,4,"N,INL",True,True
29,13,27,Al,n,102,"N,G",True,True
30,14,28,Si,n,1,"N,TOT",True,True
31,14,28,Si,n,2,"N,EL",True,True
32,14,28,Si,n,4,"N,INL",True,True
33,14,28,Si,n,102,"N,G",True,True
34,14,29,Si,n,4,"N,INL",True,True
35,14,30,Si,n,4,"N,INL",True,True
36,14,30,Si,n,102,"N,G",True,True
37,15,31,P,n,1,"N,TOT",True,True
38,15,31,P,n,2,"N,EL",True,True
39,15,31,P,n,102,"N,G",True,True
40,16,32,S,n,1,"N,TOT",True,True
41,16,32,S,n,2,"N,EL",True,True
42,16,32,S,n,4,"N,INL",True,True
43,16,32,S,n,102,"N,G",True,True
44,16,33,S,n,1,"N,TOT",True,True
45,16,33,S,n,102,"N,G",True,True
