entry,publisher,citation,title,doi,url
12858,Taylor & Francis,NST vol 20 p 983 (1983),"MEASUREMENT OF NUCLEAR INELASTIC SCATTERING CROSS SECTION OF THORIUM-232 FOR 144 KEV SI-FILTERED NEUTRONS,",10.1080/18811248.1983.9733500,https://www.tandfonline.com/doi/pdf/10.1080/18811248.1983.9733500?needAccess=true
13736,CSIRO Publishing,AUJ vol 30 p 379 (1977),Neutron Resonance Parameters of 90Zr below 300keV,10.1071/ph770379,https://www.publish.csiro.au/ph/pdf/ph770379
13741,CSIRO Publishing,AUJ vol 30 p 391 (1977),High resolution neutron transmission and Capture for 91Zr,10.1071/ph770391,http://www.publish.csiro.au/ph/pdf/ph770391
14356,American Physical Society,Physical Review C vol 87 p 014005 (2013),Measurements of the neutron-proton and neutron-carbon total cross section from 150 to 800 keV,10.1103/PhysRevC.87.014005,http://link.aps.org/pdf/10.1103/PhysRevC.87.014005
14398,DOI resolver — redirects to a publisher platform,Physics Letters B vol 736 p 361 (2014),"Measurements of the 40Ar(n,g)41Ar radiative-capture cross section between 0.4 and 14.8 MeV",10.1016/j.physletb.2014.07.044,https://doi.org/10.1016/j.physletb.2014.07.044
14446,American Physical Society,Physical Review C vol 92 p 045810 (2015),"63Ni(n,gamma) cross sections measured with DANCE",10.1103/PhysRevC.92.045810,http://link.aps.org/pdf/10.1103/PhysRevC.92.045810
14467,American Physical Society,Physical Review C vol 95 p 015808 (2017),"63Cu(n,gamma) cross section measured via 25 keV activation and time of flight",10.1103/PhysRevC.95.015808,http://link.aps.org/pdf/10.1103/PhysRevC.95.015808
14469,DOI resolver — redirects to a publisher platform,Physics Letters B vol 741 p 150 (2015),Measurement of the neutron-capture cross section of 76Ge and 74Ge below 15MeV and its relevance to neutrinoless double beta decay searches of 76Ge,10.1016/j.physletb.2014.12.004,https://doi.org/10.1016/j.physletb.2014.12.004
14659,American Physical Society,Physical Review C vol 102 p 014002 (2020),Measurement of neutron-proton capture in the SNO+ water phase,10.1103/PhysRevC.102.014002,http://link.aps.org/pdf/10.1103/PhysRevC.102.014002
20316,Taylor & Francis,NST vol 7 p 7 (1970),-NEUTRON RESONANCE OF CO-59 AT 132 EV-,10.1080/18811248.1970.9734633,https://www.tandfonline.com/doi/pdf/10.1080/18811248.1970.9734633?needAccess=true
20355,DOI resolver — redirects to a publisher platform,Nuclear Science and Engineering vol 70 p 98 (1979),-THE TOTAL NEUTRON CROSS SECTION OF BORON-10 BETWEEN 90 AND 420 KEV.-,10.13182/NSE79-A18932,https://doi.org/10.5445/ir/270006367
20420,Taylor & Francis,NST vol 12 p 1 (1975),-PRECISION NEUTRON TOTAL CROSS-SECTION MEASUREMENTS NEAR 24 KEV.-,10.1080/18811248.1975.9733063,https://www.tandfonline.com/doi/pdf/10.1080/18811248.1975.9733063?needAccess=true
20602,De Gruyter,ZN/A vol 29 p 1750 (1974),-Neutron total cross sections at 18.8 eV-,10.1515/zna-1974-1207,https://www.degruyter.com/document/doi/10.1515/zna-1974-1207/pdf
